Chemical name	Smiles	Type
	[Tl+].[O-][N+]([O-])=O	not_ligand
	ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1	not_ligand
	[Cl-].[Cl-].[Cd++]	ligand
	CC(OC1=CC(Cl)=CC=C1)C(O)=O	not_ligand
	CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=CC=C1	not_ligand
	NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1	ligand
	OC1=CC=CC(NC2=CC=CC=C2)=C1	not_ligand
	COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1	not_ligand
	ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1	not_ligand
	CC(C)OC(=O)NC1=CC=CC(Cl)=C1	not_ligand
	[Ca++].[O-][N+]([O-])=O.[O-][N+]([O-])=O	not_ligand
	[Br-].CN(C)C(=O)OC1=CC=C[N+](C)=C1	not_ligand
	ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1	ligand
	C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1	not_ligand
	CC(C=O)=CC1=CC=CC=C1	not_ligand
	COC(=O)CC1=CC=CC=C1	not_ligand
	CN(C)C(=O)NC1=CC=CC=C1	not_ligand
	FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=C(F)C=C(OC2=C(Cl)C=C(C=C2)C(F)(F)F)C=C1	not_ligand
	CCNC1=NC(SC)=NC(NCC)=N1	not_ligand
	Cl.Cl.COC1=CC=C(CN2CCN(CC2)C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)C(OC)=C1OC	ligand
	COC(CC1=CC=CC=C1)OC	not_ligand
	ClC1=C(C=CC=C1)C1CS\C(S1)=C(/C#N)N1C=CN=C1	not_ligand
	OC1=CC=C(CC2=CC=CC=C2)C=C1	not_ligand
	NC1=CC=C(NC2=CC=CC=C2)C=C1	not_ligand
	BrC1=CC=C(OC2=CC=CC=C2)C=C1	not_ligand
	CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1	not_ligand
	C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O	not_ligand
	NC1=NC2=C(CCN(CC=C)CC2)S1	not_ligand
	[O-][N+](=O)C1=CC=C(OC2=CC=C(C=C2)[N+]([O-])=O)C=C1	not_ligand
	O=C=NC1=CC=C(CC2=CC=C(C=C2)N=C=O)C=C1	not_ligand
	COC1=CC=C(NC2=CC=C(OC)C=C2)C=C1	not_ligand
	CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1	ligand
	NC1=CC=C(CC2=CC=C(N)C=C2)C=C1	not_ligand
	NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1	not_ligand
	NC1=CC=C(OC2=CC=C(N)C=C2)C=C1	not_ligand
	C(C1=CC=CC=C1)C1=CC=CC=C1	not_ligand
	CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=C1C=CC=C2	not_ligand
	C1CCC(CC1)NC1CCCCC1	not_ligand
	O(C1=CC=CC=C1)C1=CC=CC=C1	not_ligand
	CCCCC\C(CO)=C\C1=CC=CC=C1	not_ligand
	CCCCCCC(C=O)=CC1=CC=CC=C1	not_ligand
	C(OC1=CC(OCC2CO2)=CC=C1)C1CO1	ligand
	[Na+].COC1=C2C=C(C3=C(C=C4OCOC4=C3C2=CC=C1)C([O-])=O)[N+]([O-])=O	ligand
	CCC(C)NC1=CC=C(NC(C)CC)C=C1	ligand
	CCOC(=O)CC1=CC=CC=C1	not_ligand
	CC(=O)SCC(CC(=O)C1=CC=C(C)C=C1)C(O)=O	not_ligand
	COC1=CC(=CC=C1OC(F)F)C1=NNC(=O)C=C1	not_ligand
	CC(=O)CC(=O)NC1=CC=CC=C1	not_ligand
	N=C(NC1=CC=CC=C1)NC1=CC=CC=C1	not_ligand
	O=C(NC1=CC=CC=C1)NC1=CC=CC=C1	not_ligand
	S=C(NC1=CC=CC=C1)NC1=CC=CC=C1	not_ligand
	O=C(OC1=CC=CC=C1)OC1=CC=CC=C1	not_ligand
	CC1(C)CCC(C)(C)C2=C1C=CC(=C2)C(=O)NC1=CC=C(C=C1)C(O)=O	not_ligand
	CCCCC(CC)COCCC#N	not_ligand
	O=C(CC1=CC=CC=C1)OCC1=CC=CC=C1	not_ligand
	CCO[Si](CCC1CCC2OC2C1)(OCC)OCC	not_ligand
	[Na+].CCCCCN(CCCCC)C(=O)C(CCC([O-])=O)NC(=O)C1=CC(Cl)=C(Cl)C=C1	ligand
	O=C(CC1=CC=CC=C1)OCCC1=CC=CC=C1	not_ligand
	NC(=O)C(Br)(Br)C#N	not_ligand
	CCC1=CC(C(O)=O)=C(N=C1)C(O)=O	not_ligand
	CCNC1=CC(C)=CC=C1	not_ligand
	CC(=O)NC1=CC=CC(N)=C1	not_ligand
	CC(=O)OC1=CC=CC(O)=C1	not_ligand
	ClC1=C(Cl)C=C(C=C1)N=C=O	not_ligand
	COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1	ligand
	CCN(CC)CC1CCCCN1CC(=O)N1C2=C(C=CC=C2)C(=O)NC2=C1N=CC=C2	not_ligand
	OCCOC1=CC(OCCO)=CC=C1	not_ligand
	ClC1C2OC2C2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl	not_ligand
	COC1=CC(C)=C(N)C=C1	not_ligand
	C=CCN1C(=O)N(CC=C)C(=O)N(CC=C)C1=O	not_ligand
	C\C=C1/[C@@H]2CC3=C(C=CC(=O)N3)[C@@]1(N)CC(C)=C2	not_ligand
	[Fe++].[CH-]1C=CC=C1.[CH-]1C=CC=C1	not_ligand
	COCCOC(=O)CC#N	not_ligand
	CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O	not_ligand
	COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=CC(OC(F)F)=C3)=NC=C1	not_ligand
	CNCCCC12CCC(C3=C1C=CC=C3)C1=C2C=CC=C1	not_ligand
	COP(N)(=O)SC	not_ligand
	Cl.N#CC1=CC=C(C=C1)C1CCCC2=CN=CN12	not_ligand
	C=CCN(CC=C)CC=C	not_ligand
	Cl.CCN(CC)CC(=O)NC1=C(C)C=C(C)C=C1C	not_ligand
	OCCN(CCO)CCO	not_ligand
	CC(=O)OCC(COC(C)=O)OC(C)=O	not_ligand
	C1CN(CCO1)SC1=NC2=C(S1)C=CC=C2	not_ligand
	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCC1	not_ligand
	CCCCN(CCO)CCO	not_ligand
	C[C@@H](CCC=C(C)C)C=C	not_ligand
	CCCCN(CCO)CCCC	not_ligand
	CCCCN(CCCC)CCCC	not_ligand
	CCCCCCN1C(=O)N(C)C2=C(N(C)C=N2)C1=O	not_ligand
	CC(C)[C@@H](NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1	not_ligand
	CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC	not_ligand
	CCOC(=O)C1=CC=C(C=C1)N(C)C	not_ligand
	[O-][N+](=O)C=CC1=CC=CC=C1	ligand
	NC(=O)NNC1=CC=CC=C1	not_ligand
	FC(C(F)(F)F)C(F)(F)OC1=CC(Cl)=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl	not_ligand
	CC(C)(O)CCC1=CC=CC=C1	not_ligand
	CCCCC(CC)COC(C)=O	not_ligand
	CCO[C@@H]1O[C@H](C(COCC2=CC=CC=C2)OCC2=CC=CC=C2)[C@H](OCC2=CC=CC=C2)[C@H]1O	not_ligand
	ClC1=C(Cl)C2(Cl)C3COS(=O)(=O)OCC3C1(Cl)C2(Cl)Cl	not_ligand
	CCOC(=O)C1=NN(C(=N1)C(Cl)(Cl)Cl)C1=C(Cl)C=C(Cl)C=C1	ligand
	CCCCC(CC)COC(=O)C=C	not_ligand
	CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=C(C=CC=C2)C1=O	not_ligand
	OC1=CC=C(OCC2=CC=CC=C2)C=C1	not_ligand
	F[P-](F)(F)(F)(F)F.CC[N+]1=CC=CC=C1	not_ligand
	O=C(NC1=C2OC(=CC(=O)C2=CC=C1)C1=NN=NN1)C1=CC=C(OCCCCC2=CC=CC=C2)C=C1	not_ligand
	OC1=C(N=C2C=CC=CC2=C1Br)C1C(=O)C2=C(C=CC=C2)C1=O	not_ligand
	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC	not_ligand
	NC1(CCC1)C1=CC=C(C=C1)C1=NC2=C(C=C1C1=CC=CC=C1)C1=NNC(=O)N1C=C2	not_ligand
	CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC	not_ligand
	[O-][N+](=O)O[Cd]O[N+]([O-])=O	ligand
	O.O.[Cl-].[Cl-].[Ba++]	not_ligand
	C[C@@H](O)C(O)=O	not_ligand
	C(CC1=CC=CC=C1)C1=CC=CC=C1	not_ligand
	C(=C/C1=CC=CC=C1)\C1=CC=CC=C1	not_ligand
	C1=CC=C(C=C1)N=NC1=CC=CC=C1	not_ligand
	C1CN(CCO1)SSN1CCOCC1	ligand
	FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2	not_ligand
	CCOC(=O)C=CC1=CC=CC=C1	not_ligand
	CCCC(=O)OCC1=CC=CC=C1	not_ligand
	FC1=CC=C(C=C1)N1CCN(CCCC(=O)NC2C3=CC=CC=C3CSC3=CC=CC=C23)CC1	not_ligand
	OC[C@H]1O[C@@H](OCCC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O	not_ligand
	CC(C)CC(=O)OCC1=CC=CC=C1	not_ligand
	CC\C(C)=C\CCC(C)(O)C=C	not_ligand
	CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1	not_ligand
	O=C(OCC1=CC=CC=C1)C=CC1=CC=CC=C1	not_ligand
	CN1C2=CC=CC=C2C(=N[C@H](NC(=O)C2=CC3=C(N2)C=CC=C3)C1=O)C1=CC=CC=C1	not_ligand
	CC(=O)OCCC1=CC=CC=C1	not_ligand
	COC1=CC=C(C=C1)N1N=C(CCC(=O)N(C)O)C=C1C1=CC=C(Cl)C=C1	ligand
	Cl.CNCCCC12CCC(C3=C1C=CC=C3)C1=C2C=CC=C1	not_ligand
	CC(C)C(=O)OCCC1=CC=CC=C1	not_ligand
	C(NCC1=CC=CC=C1)C1=CC=CC=C1	not_ligand
	C(OCC1=CC=CC=C1)C1=CC=CC=C1	not_ligand
	CCCC(=O)OCCC1=CC=CC=C1	not_ligand
	O=C(OCCC1=CC=CC=C1)C=CC1=CC=CC=C1	not_ligand
	CC(=O)OCC=CC1=CC=CC=C1	not_ligand
	CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1	ligand
	CC(C)C(=O)OCC=CC1=CC=CC=C1	not_ligand
	CC(C)C(=O)OCCOC1=CC=CC=C1	not_ligand
	Cl[Ba]Cl	not_ligand
	Cl[Yb](Cl)Cl	not_ligand
	CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1	not_ligand
	BrCCC1=CC=CC=C1	not_ligand
	CCCC1=CC=CC=C1	not_ligand
	CCNC1=CC=CC=C1	not_ligand
	O=CNC1=CC=CC=C1	not_ligand
	S=C=NC1=CC=CC=C1	not_ligand
	OC(=O)CNC(=O)CNC(=O)CNC(=O)CSC(=O)C1=CC=CC=C1	not_ligand
	CC1(C)C2CCC1(C)C(=O)C2=O	not_ligand
	OCCC1=NC=CC=C1	not_ligand
	OCCN1CCNCC1	not_ligand
	O.CC1=CC(=O)OC2=C1C=CC(O)=C2	not_ligand
	OC1=CC(=O)NC=C1Cl	not_ligand
	[Li+].[Li+].[O-]S([O-])(=O)=O	not_ligand
	COC1=CC2=C(CN([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC2=CC=CC=C2)C(O)=O)C=C1OC	not_ligand
	CN1C2=C(NC(Br)=N2)C(=O)N(C)C1=O	not_ligand
	OC(=O)CC1=CC=CC=C1	not_ligand
	CN(C)CC1=CC=CC=C1	not_ligand
	CC(=O)NC1=CC=CC=C1	not_ligand
	NC(=S)NC1=CC=CC=C1	not_ligand
	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCCCC1	not_ligand
	Cl.NCCNC(=O)C1=NC=C(Cl)C=C1	not_ligand
	CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(\C=C\C(=O)OC(C)(C)C)C=CC=C1)C(=O)OCC	not_ligand
	CC(C)(N)CC1=CC=CC=C1Cl	not_ligand
	CC(=O)NC1=CC=C(C)C=C1	not_ligand
	CC(=O)NC1=CC=C(O)C=C1	not_ligand
	NC1=C(NC\C=C/COC2=NC=CC(CN3CCCCC3)=C2)C(=O)C1=O	not_ligand
	CC(CC1=CC=C(C=C1)C(C)C)C=O	not_ligand
	CNC(=O)C1=C(I)C(C(O)=O)=C(I)C(NC(=O)CCCCC(=O)NC2=C(I)C(C(=O)NC)=C(I)C(C(O)=O)=C2I)=C1I	not_ligand
	COC1=CC(CC=C)=CC=C1OC(=O)CC1=CC=CC=C1	not_ligand
	Cl.Cl.CCOC(CN1CCN(CC(C)C(=O)C2=CC=CC=C2)CC1)C1=CC=CC=C1	not_ligand
	[Cl-].OC(C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)(C1=CC=CC=C1)C1=CC=CC=C1	not_ligand
	CCC1(CC2=C(C1)C=CC=C2)C1=CN=CN1	not_ligand
	CC(=O)NC1=CC=C(\C=N\NC(N)=S)C=C1	not_ligand
	OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O.C(CNC1=NC2=CC=CC=C2S1)COC1=CC(CN2CCCCC2)=CC=C1	not_ligand
	CC(C)C1(C)NC(=NC1=O)C1=NC=C(C)C=C1C(O)=O	not_ligand
	ClC1=CC=C(C=C1)N=C=O	not_ligand
	CCCCC1=CC=C(N)C=C1	not_ligand
	NCC(O)C1=CC=C(O)C=C1	not_ligand
	CC1=CC=C(C=C1)S(O)(=O)=O	not_ligand
	C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC5=NNC=C5C[C@]4(C)[C@H]3CC[C@]12C	not_ligand
	COC1=CC=C(CCC(C)=O)C=C1	not_ligand
	COC(=O)CC(C(C)=O)C(=O)OC	not_ligand
	CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O	not_ligand
	COC1=CC=C(COC(C)=O)C=C1	not_ligand
	NC1=CC=C(C=C1)S(=O)(=O)NCC1=CC=CC=C1	not_ligand
	CC(=O)OCC(CCN1C=NC2=C1N=C(N)N=C2)COC(C)=O	not_ligand
	CCC(=O)C=CC1=CC=C(OC)C=C1	not_ligand
	CCOCCOC(=O)C=CC1=CC=C(OC)C=C1	not_ligand
	CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC	not_ligand
	NC(=N)C1=CC=C(OCCCOC2=CC=C(C=C2)C(N)=N)C=C1	not_ligand
	[Na+].[O-]C(=O)CCCOC1=CC=C(Cl)C=C1Cl	not_ligand
	OC(=O)\C=C\C(O)=O.CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1.CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1	not_ligand
	O.O.O.[Na+].[Na+].CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSC3=NC(=O)C([O-])=NN3C)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	not_ligand
	OCCOC1=CC=C(OCCO)C=C1	not_ligand
	CCCCCCCCCC1=CC=C(O)C=C1	not_ligand
	CCCCCCCCCCCCC1=CC=C(O)C=C1	not_ligand
	CCCC1=CC=C(OC)C=C1	not_ligand
	COC1=CC=C(C=CC)C=C1	not_ligand
	CCCCC1CCC(=O)O1	not_ligand
	CCCCC1=CC=CC=C1	not_ligand
	O=CCCC1=CC=CC=C1	not_ligand
	CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C	ligand
	OCC=CC1=CC=CC=C1	not_ligand
	O=CC=CC1=CC=CC=C1	not_ligand
	OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1	not_ligand
	CCCCCC1CCC(=O)O1	not_ligand
	OCCNCC1=CC=CC=C1	not_ligand
	CCCN[C@H]1CCC2=C(C1)SC(N)=N2	not_ligand
	OC1=C(C2CC(CC3=C2C=CC=C3)C2=CC=C(C=C2)C2=CC=C(Br)C=C2)C(=O)SC2=CC=CC=C12	ligand
	C(COC1=CC=CC=C1)OC1=CC=CC=C1	not_ligand
	CCCCCCCC1CCC(=O)O1	not_ligand
	OC(=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=N1	not_ligand
	CCCCC(CC)CN	not_ligand
	CCCCC(CC)CO	not_ligand
	[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1	not_ligand
	CC1=CC=C(C=C1)C#N	not_ligand
	ClC1=CC=C(C=O)C=C1	not_ligand
	OC1=CC=C(C=C1)N=O	not_ligand
	COC1=CC=C(C)C=C1	not_ligand
	COC1=CC=C(N)C=C1	not_ligand
	OC(=O)\C=C\C1=CNC=N1	not_ligand
	[Br-].CC[N+]1(CC)CCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	not_ligand
	CCC1=CC=C(CC)C=C1	not_ligand
	C=CC1=CC=C(C=C)C=C1	not_ligand
	OCC1CCC(CO)CC1	not_ligand
	ON=C1C=CC(C=C1)=NO	not_ligand
	COC1=CC=C(CO)C=C1	not_ligand
	CCN(CC)CCOC(=O)C(C)=C	not_ligand
	CCCC1CCC(=O)O1	not_ligand
	CC1=NN=C2CN=C(C3=C(SC(CCC(=O)N4CCOCC4)=C3)N12)C1=C(Cl)C=CC=C1	not_ligand
	ClC1=C2C=CC=CC2=C(C=O)C2=CC=CC=C12	ligand
	CCCC(C)CO	not_ligand
	COC(=O)CC#N	not_ligand
	CCOC(=O)CBr	not_ligand
	CCOC(=O)CC	not_ligand
	CCC1=NC(CC2=CC=CC=C2)=C2C=C(OC)C(OC)=CC2=C1	not_ligand
	CCOC(=O)CCl	not_ligand
	CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1	ligand
	O=C1N(C2=CC=CC=C2C1(CC1=CC=NC=C1)CC1=CC=NC=C1)C1=CC=CC=C1	not_ligand
	CC(C)CC(C)=NO	not_ligand
	COC(=O)CC(C)=O	not_ligand
	O=C1NCN(C2=CC=CC=C2)C11CCN(CC2COC3=C(O2)C=CC=C3)CC1	not_ligand
	C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C	not_ligand
	CC(C)OC(=O)C1=CC(=CC(=C1)C(=O)OC(C)C)[N+]([O-])=O	not_ligand
	CCOC(=O)CC(=O)OCC	not_ligand
	CCCC(=O)OCC	not_ligand
	CCNC(=S)NCC	not_ligand
	CCOC(=O)CC#N	not_ligand
	CCOC(C)OCC	not_ligand
	CCOC(=O)OCC	not_ligand
	CN(CCO)CCO	not_ligand
	O=C1CCCCCN1	not_ligand
	C[C@@H](NCC(C)(C)CN[C@H](C)C(\C)=N\O)C(\C)=N\O	not_ligand
	CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=C(C=C(O)C=C2)C1=O	ligand
	Cl.O=S(=O)(N1CCCNCC1)C1=CC=CC2=C1C=CN=C2	not_ligand
	CN(C)CCCNCCCN	not_ligand
	CC1=CC(C)=C(O)C=C1	not_ligand
	CCCCOC(=O)\C=C/C(=O)OCCCC	not_ligand
	CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O	not_ligand
	CC(CCOC=O)CCC=C(C)C	not_ligand
	CC(C)=CCC\C(C)=C\COC=O	not_ligand
	CC(C)=CCC\C(C)=C\COC(C)=O	not_ligand
	Cl.C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C2=C1C=CC=C2O	not_ligand
	CC(=C)C(=O)OCCOC1=CC=CC=C1	not_ligand
	O=C1CCCCCCCCCCCC(=O)OCCO1	not_ligand
	CCCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCCC	not_ligand
	CCN(C)N=O	not_ligand
	CCCCOC(=O)CCCCC(=O)OCCCC	not_ligand
	CC(=O)C1=C(C)OC(C)=C1	not_ligand
	Cl.CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN3CCSC1=C23)C(O)=O	not_ligand
	O=C1CCCCCCCCCCCCCCO1	not_ligand
	COC(=O)NC1=NC2=CC=CC=C2N1	not_ligand
	OC(=O)\C=C\C(O)=O.OC(=O)\C=C\C(O)=O.C(N1CCNCC1)C1=CC=CC=C1	not_ligand
	CCCCCCC(O)CCCCCCCCCCC(O)=O	not_ligand
	[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O	ligand
	CCCOC(=O)CCCCC(=O)OCCC	not_ligand
	CCCCC(CC)CNCC(CC)CCCC	not_ligand
	CC(C)CCCC(C)CCO	not_ligand
	COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1	ligand
	CC(CCO)CCC=C(C)C	not_ligand
	CC(CCC=C(C)C)CC=O	not_ligand
	CC(C)=CCC\C(C)=C\CO	not_ligand
	CC(C)=CCC\C(C)=C/CO	not_ligand
	CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1	not_ligand
	CCCC(=O)OCCC(C)C	not_ligand
	CCCC(=O)OC\C=C(/C)CCC=C(C)C	not_ligand
	NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1	not_ligand
	CCCCCCC(=O)OCC	not_ligand
