"","Type","SMILES.1"
"56","[O-][N+](=O)C(Cl)(Cl)Cl","[O-][N+](=O)C(Cl)(Cl)Cl"
"57","CCC1(CC)C(=O)NC=CC1=O","CCC1(CC)C(=O)NC=CC1=O"
"58","C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O","C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O"
"59","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1"
"60","CN1CCN(CC1)C1=NC2=C(CC3=C1C=CC=C3)C=CC=C2","CN1CCN(CC1)C1=NC2=C(CC3=C1C=CC=C3)C=CC=C2"
"61","CCO[Si](CC)(OCC)OCC","CCO[Si](CC)(OCC)OCC"
"62","CCO[Si](OCC)(OCC)OCC","CCO[Si](OCC)(OCC)OCC"
"63","[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O","[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O"
"64","ClC=C(Cl)Cl","ClC=C(Cl)Cl"
"65","ClCC(Cl)=O","ClCC(Cl)=O"
"66","NC(=O)C=C","NC(=O)C=C"
"67","NC(=O)CCl","NC(=O)CCl"
"68","OC(=O)CBr","OC(=O)CBr"
"69","CCC(O)=O","CCC(O)=O"
"70","OC(=O)C=C","OC(=O)C=C"
"71","OC(=O)CCl","OC(=O)CCl"
"72","CC(C)(C1CCC(O)CC1)C1CCC(O)CC1","CC(C)(C1CCC(O)CC1)C1CCC(O)CC1"
"73","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1"
"74","CC(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1","CC(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1"
"75","ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1","ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1"
"76","OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1","OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1"
"77","Cl[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1","Cl[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1"
"78","O=C1NS(=O)(=O)C2=C1C=CC=C2","O=C1NS(=O)(=O)C2=C1C=CC=C2"
"79","NC1=CC(=C(C=CC2=C(C=C(N)C=C2)S(O)(=O)=O)C=C1)S(O)(=O)=O","NC1=CC(=C(C=CC2=C(C=C(N)C=C2)S(O)(=O)=O)C=C1)S(O)(=O)=O"
"80","OC(=O)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1","OC(=O)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1"
"81","CN1N(C(=O)C(N)=C1C)C1=CC=CC=C1","CN1N(C(=O)C(N)=C1C)C1=CC=CC=C1"
"82","O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1","O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1"
"83","OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O.CN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1","OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O.CN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1"
"84","C(CN1C2=CC=CC=C2SC2=CC=CC=C12)N1CCCC1","C(CN1C2=CC=CC=C2SC2=CC=CC=C12)N1CCCC1"
"85","O=C1C(=O)C2=C(C=CC=N2)C2=CC=CN=C12","O=C1C(=O)C2=C(C=CC=N2)C2=CC=CN=C12"
"86","C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2","C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2"
"87","C1=CC=C2C(C=CC3=C2C=CC=N3)=C1","C1=CC=C2C(C=CC3=C2C=CC=N3)=C1"
"88","CN1CCC(CC1)N(CC1=CC=CS1)C1=CC=CC=C1","CN1CCC(CC1)N(CC1=CC=CS1)C1=CC=CC=C1"
"89","CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2","CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2"
"90","NC1=CC2=C(C=C1)C(O)=CC(=C2)S(O)(=O)=O","NC1=CC2=C(C=C1)C(O)=CC(=C2)S(O)(=O)=O"
"91","OC1=C(Br)C=C(Br)C=C1C(=O)NC1=CC=C(Br)C=C1","OC1=C(Br)C=C(Br)C=C1C(=O)NC1=CC=C(Br)C=C1"
"92","OC1=C(Cl)C=C(Cl)C=C1Cl","OC1=C(Cl)C=C(Cl)C=C1Cl"
"93","CCC(CC)C(O)=O","CCC(CC)C(O)=O"
"94","CCN(CC)C(Cl)=O","CCN(CC)C(Cl)=O"
"95","O.O.OS(=O)(=O)C1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O","O.O.OS(=O)(=O)C1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O"
"96","CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC","CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC"
"97","OC(=O)C1=CC(C(O)=O)=C(C=C1C(O)=O)C(O)=O","OC(=O)C1=CC(C(O)=O)=C(C=C1C(O)=O)C(O)=O"
"98","OC(=O)C1=CC=C(C=C1C(O)=O)S(O)(=O)=O","OC(=O)C1=CC=C(C=C1C(O)=O)S(O)(=O)=O"
"99","OCC1=CC=CC=C1O","OCC1=CC=CC=C1O"
"100","OC1=CC=CC=C1C=O","OC1=CC=CC=C1C=O"
"101","OC1=C([Hg]Cl)C=CC=C1","OC1=C([Hg]Cl)C=CC=C1"
"102","COC1=C(O)C=CC=C1","COC1=C(O)C=CC=C1"
"103","CC1=C(C=CC=C1N=C=O)N=C=O","CC1=C(C=CC=C1N=C=O)N=C=O"
"104","COC1=CC=CC(OC)=C1O","COC1=CC=CC(OC)=C1O"
"105","OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1","OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1"
"106","C1=CC=C(C=C1)C1=CC(=CC=C1)C1=CC=CC=C1","C1=CC=C(C=C1)C1=CC(=CC=C1)C1=CC=CC=C1"
"107","COC1=CC=C(OC)C(C=O)=C1","COC1=CC=C(OC)C(C=O)=C1"
"108","COC1=CC2=C(C=CC=C2)C=C1","COC1=CC2=C(C=CC=C2)C=C1"
"109","CC(=O)C1=CC2=CC=CC=C2C=C1","CC(=O)C1=CC2=CC=CC=C2C=C1"
"110","CNCC(O)C1=CC=C(O)C=C1","CNCC(O)C1=CC=C(O)C=C1"
"111","CCOC(=O)C1=CC=C(C)C=C1","CCOC(=O)C1=CC=C(C)C=C1"
"112","CCOC(=O)C1=CC=C(N)C=C1","CCOC(=O)C1=CC=C(N)C=C1"
"113","CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1","CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1"
"114","CCCOC(=O)C1=CC=C(N)C=C1","CCCOC(=O)C1=CC=C(N)C=C1"
"115","CCN(CC)C(=S)SCC(Cl)=C","CCN(CC)C(=S)SCC(Cl)=C"
"116","CC(=C)C(=O)OCC=C","CC(=C)C(=O)OCC=C"
"117","CC1OC1C1CCC2(C)OC2C1","CC1OC1C1CCC2(C)OC2C1"
"118","C1OC1C1=CC=CC=C1","C1OC1C1=CC=CC=C1"
"119","ClCC(Br)CBr","ClCC(Br)CBr"
"120","NC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O","NC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O"
"121","O=CC1=CC=CO1","O=CC1=CC=CO1"
"122","SCC1=CC=CO1","SCC1=CC=CO1"
"123","CC(C)(C)C1=CC=CC=C1","CC(C)(C)C1=CC=CC=C1"
"124","ClC(Cl)(Cl)C1=CC=CC=C1","ClC(Cl)(Cl)C1=CC=CC=C1"
"125","FC(F)(F)C1=CC=CC=C1","FC(F)(F)C1=CC=CC=C1"
"126","ClS(=O)(=O)C1=CC=CC=C1","ClS(=O)(=O)C1=CC=CC=C1"
"127","OS(=O)(=O)C1=CC=CC=C1","OS(=O)(=O)C1=CC=CC=C1"
"128","CC1=CC=CC(=C1)C(O)=O","CC1=CC=CC(=C1)C(O)=O"
"129","OC(=O)C1=CC(O)=CC=C1","OC(=O)C1=CC(O)=CC=C1"
"130","CC1=CC(=CC=C1)[N+]([O-])=O","CC1=CC(=CC=C1)[N+]([O-])=O"
"131","NC1=CC(=CC=C1)[N+]([O-])=O","NC1=CC(=CC=C1)[N+]([O-])=O"
"132","CC1=CC(=CC(C)=C1)[N+]([O-])=O","CC1=CC(=CC(C)=C1)[N+]([O-])=O"
"133","NCCN1CCOCC1","NCCN1CCOCC1"
"134","BrC1=C(C=CC=C1)C1=CC=CC=C1","BrC1=C(C=CC=C1)C1=CC=CC=C1"
"135","BrC1=C(C=CC=C1)C1=CC=CC=C1","BrC1=C(C=CC=C1)C1=CC=CC=C1"
"136","CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1"
"137","C(OC1=CC=C(CC2=CC=C(OCC3CO3)C=C2)C=C1)C1CO1","C(OC1=CC=C(CC2=CC=C(OCC3CO3)C=C2)C=C1)C1CO1"
"138","NC1=NC(=CS1)C1=CC=C(C=C1)[N+]([O-])=O","NC1=NC(=CS1)C1=CC=C(C=C1)[N+]([O-])=O"
"139","NC(=O)OCC=C","NC(=O)OCC=C"
"140","NS(=O)(=O)C1=CC2=C(CN(C3CCCCC3)C2=O)C=C1Cl","NS(=O)(=O)C1=CC2=C(CN(C3CCCCC3)C2=O)C=C1Cl"
"141","OC1=CC=C(C=O)C(O)=C1O","OC1=CC=C(C=O)C(O)=C1O"
"142","CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1","CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1"
"143","[K+].C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@]2(O)CCC([O-])=O","[K+].C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@]2(O)CCC([O-])=O"
"144","CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1O","CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1O"
"145","CC(=O)\C=C\C=C1\C2CCC(C2)C1(C)C","CC(=O)\C=C\C=C1\C2CCC(C2)C1(C)C"
"146","S=C=NCCC1=CC=CC=C1","S=C=NCCC1=CC=CC=C1"
"147","C=CC(=O)OCCOC(=O)C=C","C=CC(=O)OCCOC(=O)C=C"
"148","CCCCCCCCC1CCC(=O)O1","CCCCCCCCC1CCC(=O)O1"
"149","OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1","OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1"
"150","NC(=O)NC1=CC=C(Cl)C(Cl)=C1","NC(=O)NC1=CC=C(Cl)C(Cl)=C1"
"151","CCCCCCOC(=O)C(C)C","CCCCCCOC(=O)C(C)C"
"152","[Na+].C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC([O-])=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12","[Na+].C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC([O-])=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12"
"153","OC(=O)\C=C/C(O)=O.CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1","OC(=O)\C=C/C(O)=O.CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1"
"154","ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O","ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O"
"155","CCCCOCC1CO1","CCCCOCC1CO1"
"156","CCCC1=CC=C(C=C1)C(O)=O","CCCC1=CC=C(C=C1)C(O)=O"
"157","CC1=CC2=NC3=C(SC(=O)S3)N=C2C=C1","CC1=CC2=NC3=C(SC(=O)S3)N=C2C=C1"
"158","OC(=O)C1=C(O)C=CC=C1.OC1=C2N=CC=CC2=CC=C1","OC(=O)C1=C(O)C=CC=C1.OC1=C2N=CC=CC2=CC=C1"
"159","CC(O)=O.CCCCCCCCCCCCNC(N)=N","CC(O)=O.CCCCCCCCCCCCNC(N)=N"
"160","[Ba++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O","[Ba++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O"
"161","COC(=O)C1=CC=C(C(=O)OC)C(=C1)C(=O)OC","COC(=O)C1=CC=C(C(=O)OC)C(=C1)C(=O)OC"
"162","OC1=C(CC2=C(O)C=CC=C2)C=CC=C1","OC1=C(CC2=C(O)C=CC=C2)C=CC=C1"
"163","OCCCCOC(=O)C=C","OCCCCOC(=O)C=C"
"164","CCOP(=S)(OCC)SCCS(=O)(=O)CC","CCOP(=S)(OCC)SCCS(=O)(=O)CC"
"165","CCOP(Cl)(=S)OCC","CCOP(Cl)(=S)OCC"
"166","C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C","C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C"
"167","CCOP(=S)(OCC)SCS(=O)(=O)CC","CCOP(=S)(OCC)SCS(=O)(=O)CC"
"168","CCOC(=O)C(SP(=S)(OC)OC)C1=CC=CC=C1","CCOC(=O)C(SP(=S)(OC)OC)C1=CC=CC=C1"
"169","[Na+].[Na+].OC1=C(N=NC2=CC=C(C=C2)N=NC2=CC=C(C=C2)S([O-])(=O)=O)C(=CC2=CC(NC(=O)C3=CC=CC=C3)=CC=C12)S([O-])(=O)=O","[Na+].[Na+].OC1=C(N=NC2=CC=C(C=C2)N=NC2=CC=C(C=C2)S([O-])(=O)=O)C(=CC2=CC(NC(=O)C3=CC=CC=C3)=CC=C12)S([O-])(=O)=O"
"170","CN(C)C(=O)C=C","CN(C)C(=O)C=C"
"171","COC1=CC=C(N)C(OC)=C1","COC1=CC=C(N)C(OC)=C1"
"172","Cl.COC1=C(CN(C)C)C2=C(C=C1)C(=O)C(C)=C(O2)C1=CC=CC=C1","Cl.COC1=C(CN(C)C)C2=C(C=C1)C(=O)C(C)=C(O2)C1=CC=CC=C1"
"173","CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(C)=O)N(C)C)[C@@H](C)C[C@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O","CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(C)=O)N(C)C)[C@@H](C)C[C@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O"
"174","CO[Si](OC)(OC)C=C","CO[Si](OC)(OC)C=C"
"175","CCOP(=O)(CN(CCO)CCO)OCC","CCOP(=O)(CN(CCO)CCO)OCC"
"176","NC1=CC(=C(NCCO)C=C1)[N+]([O-])=O","NC1=CC(=C(NCCO)C=C1)[N+]([O-])=O"
"177","CN1CCN=C(C2=CC=CC=C2)C2=C1C=CC(Cl)=C2","CN1CCN=C(C2=CC=CC=C2)C2=C1C=CC(Cl)=C2"
"178","CC(C)C1=CC(C(C)C)=C(O)C=C1","CC(C)C1=CC(C(C)C)=C(O)C=C1"
"179","CC1(C)COP(OC2=CC=CC=C2)OC1","CC1(C)COP(OC2=CC=CC=C2)OC1"
"180","CC1=CC=C(C=C1)N(CCO)CCO","CC1=CC=C(C=C1)N(CCO)CCO"
"181","C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O","C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O"
"182","NC1=C(I)C(C(=O)N(CCC(O)=O)C2=CC=CC=C2)=C(I)C=C1I","NC1=C(I)C(C(=O)N(CCC(O)=O)C2=CC=CC=C2)=C(I)C=C1I"
"183","OC(=O)C(O)=O.CCN(CC)CCOC(=O)C(CC1CCCO1)CC1=C2C=CC=CC2=CC=C1","OC(=O)C(O)=O.CCN(CC)CCOC(=O)C(CC1CCCO1)CC1=C2C=CC=CC2=CC=C1"
"184","CC(CC(O)=O)CC(C)(C)C","CC(CC(O)=O)CC(C)(C)C"
"185","Cl.O[C@H]1C=C[C@H]2[C@H]3CC4=C5C(O[C@@H]1[C@@]25CCN3)=C(O)C=C4","Cl.O[C@H]1C=C[C@H]2[C@H]3CC4=C5C(O[C@@H]1[C@@]25CCN3)=C(O)C=C4"
"186","CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO","CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO"
"187","CO[Si](CCC1CCC2OC2C1)(OC)OC","CO[Si](CCC1CCC2OC2C1)(OC)OC"
"188","OCCN1CCCC1=O","OCCN1CCCC1=O"
"189","N=C1NC(=N)C2=C1C=CC=C2","N=C1NC(=N)C2=C1C=CC=C2"
"190","[Cl-].C[S+](C)CCC(N)C(O)=O","[Cl-].C[S+](C)CCC(N)C(O)=O"
"191","CCN(CC)CCOC(=O)C(C)(C1=CC=CC=C1)C1=CC=CC=C1","CCN(CC)CCOC(=O)C(C)(C1=CC=CC=C1)C1=CC=CC=C1"
"192","[Na+].[Na+].CC1=CC(C)=C(C=C1C)\N=N\C1=C(O)C(=CC2=C1C=CC(=C2)S([O-])(=O)=O)S([O-])(=O)=O","[Na+].[Na+].CC1=CC(C)=C(C=C1C)\N=N\C1=C(O)C(=CC2=C1C=CC(=C2)S([O-])(=O)=O)S([O-])(=O)=O"
"193","COC1=CC=C(C=C1)S(=O)(=O)NC1=NN=C(CC(C)C)S1","COC1=CC=C(C=C1)S(=O)(=O)NC1=NN=C(CC(C)C)S1"
"194","C[C@@H]1CC[C@@H](\C=C(/C)C(O)=O)C2=C(C)CC[C@H]12","C[C@@H]1CC[C@@H](\C=C(/C)C(O)=O)C2=C(C)CC[C@H]12"
"195","CC(=O)CCC1=CC=C(OC(C)=O)C=C1","CC(=O)CCC1=CC=C(OC(C)=O)C=C1"
"196","C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1","C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1"
